hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H008,Hospital México,Costa Rica,San José,San José Province,2,2024,856,58,2.3,4.1,1.9,12.4,5.3,8.9,6.1,18.1,7.5
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,12,2024,1717,122,2.6,4.3,2.0,13.1,5.7,9.5,7.2,19.0,8.4
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,1,2024,1456,102,1.9,3.3,1.5,10.8,4.8,7.1,5.4,15.2,7.0
H016,Hospital CIMA,Costa Rica,San José,San José Province,1,2025,1298,91,1.2,2.2,0.9,8.3,3.9,4.8,3.5,11.4,5.5
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,10,2024,1007,70,3.9,6.4,3.1,17.0,6.9,14.5,9.7,24.7,9.9
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,11,2024,1536,108,2.6,4.5,2.1,13.3,5.7,10.0,7.2,19.6,8.2
H026,Hospital Universitario de Neiva,Colombia,Neiva,Huila,1,2025,874,61,3.4,5.7,2.7,15.6,6.6,13.2,8.8,23.0,9.4
H008,Hospital México,Costa Rica,San José,San José Province,1,2025,906,62,2.3,4.0,1.8,12.1,5.2,8.7,6.0,17.8,7.4
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,2134,158,1.2,2.1,0.9,7.9,3.8,4.3,3.1,10.3,5.1
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,1,2025,2703,191,1.9,3.4,1.5,10.6,4.7,7.0,5.4,14.6,6.5
H016,Hospital CIMA,Costa Rica,San José,San José Province,7,2024,1312,92,1.5,2.5,1.0,9.2,4.2,5.4,4.1,12.5,6.0
H008,Hospital México,Costa Rica,San José,San José Province,3,2024,923,64,2.6,4.5,2.1,13.4,5.7,9.7,6.7,19.3,8.1
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,2,2024,2104,147,2.1,3.6,1.6,11.7,5.2,7.9,6.0,16.3,7.4
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,8,2024,1037,72,1.5,2.6,1.1,9.5,4.3,5.6,4.2,12.9,6.1
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,7,2024,1822,128,1.8,3.0,1.3,10.4,4.6,6.6,4.9,14.6,6.7
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,5,2024,1858,132,1.8,3.2,1.4,10.8,4.8,7.0,5.2,15.0,6.9
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,10,2024,1140,80,3.1,5.4,2.6,15.5,6.4,12.4,8.0,22.8,9.3
H008,Hospital México,Costa Rica,San José,San José Province,12,2024,925,65,2.7,4.5,2.1,13.5,5.7,9.8,6.8,19.4,8.2
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,4,2024,1935,136,1.3,2.3,1.0,8.6,4.0,5.0,3.6,12.0,5.7
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,12,2024,1059,75,1.6,2.8,1.2,9.8,4.5,5.9,4.5,13.4,6.4
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,1,2024,743,51,2.8,4.7,2.3,13.8,5.9,10.5,7.1,20.2,8.4
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,6,2024,1593,112,1.5,2.7,1.1,9.5,4.4,5.9,4.5,13.2,6.3
