hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1228,91,2.29,4.17,1.73,12.04,5.11,8.35,5.6,18.92,7.96
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2,2024,1216,86,2.11,4.23,1.76,12.26,5.02,8.46,6.2,17.9,7.86
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2024,1243,93,2.29,3.95,1.69,12.17,5.12,8.61,6.13,18.65,7.47
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,12,2024,1293,85,2.28,4.14,1.8,12.19,5.14,8.2,6.02,18.24,8.02
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,5,2024,1227,90,2.32,4.16,1.86,12.5,5.15,8.44,5.84,19.0,7.73
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1254,89,2.2,4.0,1.8,12.2,5.2,8.6,6.1,18.4,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1254,89,2.2,4.0,1.8,12.2,5.2,8.6,6.1,18.4,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4,2024,1256,88,2.2,4.0,1.8,12.1,5.2,8.5,6.1,18.5,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,1289,93,2.4,4.2,1.9,12.6,5.3,8.9,6.4,19.0,8.0
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2025,1265,90,2.1,3.8,1.6,11.5,4.9,8.1,5.8,17.5,7.3
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2024,2145,156,1.2,2.1,0.9,7.8,3.8,4.2,3.1,10.2,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,11,2024,2139,158,1.2,2.1,0.9,7.9,3.8,4.3,3.1,10.3,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,2134,158,1.2,2.1,0.9,7.9,3.8,4.3,3.1,10.3,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,12,2024,2101,158,1.23,2.07,0.88,7.86,3.69,4.41,3.2,10.47,4.97
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2025,2074,160,1.06,1.9,0.82,7.38,3.82,3.61,2.73,9.83,5.09
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,10,2024,2136,162,1.18,2.04,0.89,6.57,3.89,4.12,3.05,10.1,4.89
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,11,2024,2137,158,1.25,2.18,0.91,7.86,3.75,4.0,2.98,10.45,5.06
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,2137,161,1.14,2.08,0.92,8.34,3.74,4.29,3.3,10.21,5.31
