hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,11,2024,1420,73,3.8,7.1,1.1,7.2,3.6,3.6,6.4,17.7,6.2
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,1,2024,1789,73,1.5,5.7,4.3,10.9,5.5,5.7,3.7,15.1,6.6
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,2,2024,1482,27,2.1,3.3,0.6,17.4,4.6,4.8,10.0,15.2,6.8
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,1,2024,1765,119,3.6,2.5,2.2,17.2,4.7,8.0,4.6,14.7,13.4
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,9,2024,768,58,1.5,2.4,0.6,8.8,5.0,14.5,4.7,27.3,15.8
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,11,2024,2104,108,5.3,4.1,1.7,21.8,8.7,7.4,6.2,13.1,4.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2024,705,67,0.9,3.1,2.6,8.9,6.8,4.3,5.3,11.9,6.6
H008,Hospital México,Costa Rica,San José,San José Province,7,2024,945,63,3.6,2.6,5.6,12.9,5.4,17.7,6.3,34.3,5.5
H023,Hospital Universitario Fundación Santa Fe,Colombia,Bogotá,Cundinamarca,11,2024,1762,52,5.3,6.1,1.9,23.2,4.3,5.6,7.1,24.0,7.3
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,1,2024,728,50,2.5,2.5,1.8,8.6,4.3,24.2,4.4,14.4,7.8
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,6,2024,2098,72,3.4,4.4,2.9,13.1,6.7,11.7,6.8,28.6,6.4
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,627,153,2.9,4.8,1.1,16.2,8.9,15.9,6.6,13.2,8.7
H025,Hospital Santo Tomás,Panama,Panama City,Panama Province,9,2024,2713,37,6.6,2.7,1.0,9.0,4.2,10.7,3.6,18.1,13.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,12,2024,2172,132,4.5,7.6,1.7,22.4,4.3,10.2,11.3,12.4,12.8
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,1,2024,1967,28,2.2,2.4,3.9,27.5,4.9,5.5,15.2,9.5,5.7
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,3,2024,1059,188,2.2,10.1,0.7,10.3,4.6,8.5,6.8,26.1,5.0
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,2,2024,2189,87,3.2,2.6,1.7,17.2,7.9,6.9,3.1,17.5,6.7
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,12,2024,1585,137,1.5,11.0,1.6,20.3,5.6,8.8,13.8,11.4,6.2
