hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,9.0,2024,518,114,2.7,2.4,1.0,13.8,11.1,10.8,6.1,19.8,5.0
H025,Hospital Santo Tomás,Panama,Panama City,Panama Province,12.0,2024,1693,123,1.5,2.1,1.5,24.9,9.3,3.7,16.2,14.2,6.3
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,5.0,2024,1464,157,2.1,2.7,1.4,13.0,6.7,4.5,4.8,12.3,8.0
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,6.0,2024,1420,118,3.7,4.9,2.1,22.4,4.3,5.0,8.9,25.2,6.6
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,9.0,2024,1037,134,1.6,3.2,1.9,16.6,4.3,10.3,5.2,9.1,5.7
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,7.0,2024,1682,45,2.4,7.3,1.1,15.2,5.6,14.5,4.7,12.7,9.9
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,10.0,2024,2738,73,2.4,5.7,1.9,13.8,6.9,14.3,6.6,18.4,7.7
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,4.0,2025,784,30,3.645607328738604,4.1,1.8,15.86182600662584,4.7,13.8,4.7,12.8,9.7
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,5.0,2024,1562,82,1.7,10.8,2.2,14.2,5.4,7.0,6.0,13.2,9.8
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,5.0,2024,2738,129,2.1,2.9,4.4,9.4,5.2,24.1,4.7,24.7,7.5
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,9.0,2024,1935,46,1.5,3.4,1.0,10.3,4.4,14.9,8.8,18.7,8.2
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,7.0,2024,1578,73,4.1,10.1,3.1,9.5,5.1,14.8,3.9,12.9,5.2
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,5.0,2024,909,115,4.43,6.4,4.4,18.54,7.0,10.0,4.6,14.7,6.3
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,4.0,2024,1487,92,4.37,8.7,1.8,18.75,4.1,12.3,5.4,14.0,10.7
