hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2024,1780,90,1.7,3.7,2.0,18.8,5.8,14.3,12.7,17.3,8.0
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2025,1235,130,2.0,4.0,2.7,17.1,5.8,4.3,4.2,8.7,4.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,564,93,1.5,5.7,5.6,7.1,4.3,10.6,6.8,26.7,12.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2,2024,645,131,2.8,4.1,1.9,13.3,7.0,10.1,5.6,14.1,8.0
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1527,153,1.4,2.9,1.3,9.4,5.0,25.2,7.0,38.0,5.6
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,5,2024,2098,164,1.197168576592734,6.3,0.8,13.5,4.5,8.4,2.6,13.7,7.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2024,1759,102,1.1628144740388369,3.5,0.9,14.0,6.4,8.5,5.3,14.4,6.6
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,1827,131,1.1364037997949703,3.8,1.0,9.8,5.5,9.5,4.7,17.9,9.7
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,2,2024,1292,70,2.2,4.4,4.5,8.8,6.7,14.3,7.0,28.6,15.5
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,6,2024,856,112,1.6,2.7,1.6,9.6,8.7,24.2,9.6,13.1,11.9
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,5,2024,802,91,2.1,9.2,1.0,8.0,5.7,4.8,2.6,20.3,9.8
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,11,2024,874,129,2.6,3.8,2.1,9.9,4.8,12.6,6.5,8.5,8.1
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,1,2024,1789,93,1.4,4.6,2.1,9.2,4.8,7.8,6.6,15.1,6.4
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,1,2024,845,126,1.3,7.3,1.3,7.4,5.5,7.8,4.3,18.4,7.6
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,12,2024,1562,103,3.9,3.3,1.6,26.6,6.7,5.1,9.2,13.1,8.0
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,9,2024,764,54,2.7,4.1,0.7,14.2,7.3,5.2,7.5,22.3,7.8
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,1,2024,1884,89,3.5,3.0,1.7,9.7,4.6,24.1,7.1,12.8,6.5
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,1,2025,612,92,2.2,5.5,3.0,10.7,6.9,8.7,3.6,32.4,8.5
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,3,2024,1949,54,2.2,3.5,1.9,7.0,6.1,7.1,6.6,31.3,9.8
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,9,2024,1052,35,7.1,2.6,2.0,12.6,4.8,4.3,6.0,9.3,5.9
