hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1.0,2024,1247,89,2.3,4.1,1.8,12.4,5.2,8.7,6.2,18.3,7.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,5.0,2024,1037,134,2.4,4.3,1.0,13.1,4.1,8.1,2.7,19.9,7.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4.0,2024,1740,42,1.6,6.0,2.3,8.5,7.1,11.4,6.7,12.5,8.2
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,9.0,2024,1247,125,4.3,4.7,1.5,11.2,7.9,10.4,6.0,20.5,9.4
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1.0,2024,705,67,0.9,3.1,2.6,8.9,6.8,4.3,5.3,11.9,6.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,6.0,2025,712,90,5.6,4.7,4.4,21.8,6.9,10.8,5.0,9.1,8.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4.0,2024,1938,73,1.2,2.8,1.7,18.2,4.9,6.8,2.6,9.3,9.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,5.0,2024,1925,135,4.4,4.1,2.1,12.5,5.2,17.1,3.8,26.4,9.4
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11.0,2024,1527,153,1.4,2.9,1.3,9.4,5.0,25.2,7.0,38.0,5.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2.0,2024,645,131,2.8,4.1,1.9,13.3,7.0,10.1,5.6,14.1,8.0
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7.0,2024,564,93,1.5,5.7,5.6,7.1,4.3,10.6,6.8,26.7,12.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1.0,2025,1235,130,2.0,4.0,2.7,17.1,5.8,4.3,4.2,8.7,4.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1.0,2024,1780,90,1.7,3.7,2.0,18.8,5.8,14.3,12.7,17.3,8.0
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,9.0,2024,1259,80,2.08,3.9,1.8,10.92,4.93,8.51,5.62,16.67,7.41
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,10.0,2024,1230,93,2.44,3.96,1.93,11.55,5.04,9.29,6.02,18.48,7.46
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7.0,2024,1326,87,2.19,3.99,2.09,12.49,5.39,8.91,6.81,17.64,7.38
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2.0,2024,1090,91,2.29,3.61,1.8,11.54,4.69,8.15,5.97,17.26,7.22
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,8.0,2024,1246,87,2.51,3.88,1.63,13.01,5.43,9.3,6.13,17.35,7.41
