hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2025,1647,133,2.6,3.5,1.1,13.9,8.9,8.0,6.1,20.4,10.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2024,1243,93,2.29,3.95,1.69,12.17,5.12,8.61,6.13,18.65,7.47
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,12,2024,1293,85,2.28,4.14,1.8,12.19,5.14,8.2,6.02,18.24,8.02
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,5,2024,1227,90,2.32,4.16,1.86,12.5,5.15,8.44,5.84,19.0,7.73
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1254,89,2.2,4.0,1.8,12.2,5.2,8.6,6.1,18.4,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1254,89,2.2,4.0,1.8,12.2,5.2,8.6,6.1,18.4,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4,2024,1256,88,2.2,4.0,1.8,12.1,5.2,8.5,6.1,18.5,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,1289,93,2.4,4.2,1.9,12.6,5.3,8.9,6.4,19.0,8.0
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2025,1265,90,2.1,3.8,1.6,11.5,4.9,8.1,5.8,17.5,7.3
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2,2024,1216,86,2.11,4.23,1.76,12.26,5.02,8.46,6.2,17.9,7.86
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2025,1257,129,1.7,4.3,3.4,10.6,6.5,6.3,9.8,19.9,7.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,3,2024,2698,96,1.1,5.7,2.2,11.3,8.7,11.9,7.0,16.9,6.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,5,2024,918,39,7.1,8.5,3.8,9.4,5.7,7.8,2.4,32.9,15.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1228,91,2.29,4.17,1.73,12.04,5.11,8.35,5.6,18.92,7.96
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,1449,121,1.4,6.0,1.7,8.4,6.4,9.4,6.4,30.2,9.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4,2024,2104,103,4.0,6.0,4.4,21.5,4.2,3.4,6.9,13.7,8.4
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,627,153,2.9,4.8,1.1,16.2,8.9,15.9,6.6,13.2,8.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,12,2024,2172,132,4.5,7.6,1.7,22.4,4.3,10.2,11.3,12.4,12.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2024,1254,126,1.1,4.2,1.9,12.9,8.1,17.4,12.0,13.5,6.3
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,6,2024,1464,81,2.1,4.1,1.7,11.9,5.6,5.4,5.8,17.1,10.2
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,5,2024,1037,134,2.4,4.3,1.0,13.1,4.1,8.1,2.7,19.9,7.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4,2024,1740,42,1.6,6.0,2.3,8.5,7.1,11.4,6.7,12.5,8.2
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,9,2024,1247,125,4.3,4.7,1.5,11.2,7.9,10.4,6.0,20.5,9.4
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2024,705,67,0.9,3.1,2.6,8.9,6.8,4.3,5.3,11.9,6.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,6,2025,712,90,5.6,4.7,4.4,21.8,6.9,10.8,5.0,9.1,8.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4,2024,1938,73,1.2,2.8,1.7,18.2,4.9,6.8,2.6,9.3,9.9
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,2137,161,1.14,2.08,0.92,8.34,3.74,4.29,3.3,10.21,5.31
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2024,2145,156,1.2,2.1,0.9,7.8,3.8,4.2,3.1,10.2,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,11,2024,2139,158,1.2,2.1,0.9,7.9,3.8,4.3,3.1,10.3,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,2134,158,1.2,2.1,0.9,7.9,3.8,4.3,3.1,10.3,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,12,2024,2101,158,1.23,2.07,0.88,7.86,3.69,4.41,3.2,10.47,4.97
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2025,2074,160,1.06,1.9,0.82,7.38,3.82,3.61,2.73,9.83,5.09
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,10,2024,2136,162,1.18,2.04,0.89,6.57,3.89,4.12,3.05,10.1,4.89
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,11,2024,2137,158,1.25,2.18,0.91,7.86,3.75,4.0,2.98,10.45,5.06
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,7,2024,2172,122,1.2,4.2,1.6,13.9,5.0,5.2,11.7,15.3,8.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,11,2024,1723,58,1.2,4.7,1.1,11.3,8.4,9.4,4.4,23.0,6.7
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,2,2024,2112,87,1.3,6.1,2.3,10.8,5.1,8.4,9.3,38.9,5.9
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,5,2024,1770,30,1.2,3.2,0.7,11.7,7.6,7.2,10.3,17.8,9.9
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2025,1456,29,1.1,3.9,4.6,26.0,4.7,5.4,16.6,15.3,6.9
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,12,2024,1007,88,1.3,4.6,2.2,10.3,4.5,13.8,5.3,11.6,10.0
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,8,2024,1256,130,1.3,4.5,4.0,24.9,7.7,6.0,6.4,15.4,10.0
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,10,2024,1140,34,1.2,4.1,2.2,7.8,3.8,5.6,10.9,16.8,8.6
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2024,1715,53,1.2,4.7,2.8,8.6,6.0,14.2,4.3,29.6,10.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,3,2024,1467,156,1.2,3.8,2.6,13.9,4.5,9.0,6.5,18.5,5.9
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2025,2205,104,1.2,5.6,3.7,6.8,4.8,6.3,5.3,19.4,9.7
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,2750,87,1.2,2.5,3.4,8.8,6.0,9.3,10.2,28.3,5.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,12,2024,1762,104,1.1,2.6,2.0,17.7,5.2,6.1,9.9,23.1,9.4
